id,name,Gross,company
320,Jihadists,2104,CLS
321,The Hours and Times (2019 re-release),1273,Osci.
322,The Untold Story,790,Ammo
323,Tall Tales from the Magical Garden of Antoon Krings,220,VPD
324,Black Panther,700059566,BV
325,Avengers: Infinity War,678815482,BV
326,Incredibles 2,608581744,BV
327,Jurassic World: Fallen Kingdom,417719760,Uni.
328,Aquaman,335061807,WB
329,Deadpool 2,318491426,Fox
330,Dr. Seuss' The Grinch (2018),270620950,Uni.
331,Mission: Impossible - Fallout,220159104,Par.
332,Ant-Man and the Wasp,216648740,BV
333,Bohemian Rhapsody,216428042,Fox
334,A Star is Born (2018),215288866,WB
335,Solo: A Star Wars Story,213767512,BV
336,Venom (2018),213515506,Sony
337,Ralph Breaks the Internet,201091711,BV
338,Spider-Man: Into The Spider-Verse,190241310,Sony
339,A Quiet Place,188024361,Par.
340,Crazy Rich Asians,174532921,WB
341,Mary Poppins Returns,171958438,BV
342,Hotel Transylvania 3: Summer Vacation,167510016,Sony
343,Fantastic Beasts: The Crimes of Grindelwald,159555901,WB
344,Halloween (2018),159342015,Uni.
345,The Meg,145443742,WB
346,Ocean's 8,140218711,WB
347,Ready Player One,137690172,WB
348,Bumblebee,127195589,Par.
349,Mamma Mia! Here We Go Again,120634935,Uni.
350,The Nun,117450119,WB (NL)
351,Creed II,115715889,MGM
352,Peter Rabbit,115253424,Sony
353,The Mule,103804407,WB
354,The Equalizer 2,102084362,Sony
355,Rampage (2018),101028233,WB (NL)
356,A Wrinkle in Time,100478608,BV
357,Fifty Shades Freed,100407760,Uni.
358,Disney's Christopher Robin,99215042,BV
359,Green Book,85080171,Uni.
360,I Can Only Imagine,83482352,RAtt.
361,Smallfoot,83240103,WB
362,Night School (2018),77339130,Uni.
363,The First Purge,69488745,Uni.
364,Game Night,69179066,WB (NL)
365,Book Club,68566296,Par.
366,The House With A Clock In Its Walls,68549695,Uni.
367,Skyscraper,68420120,Uni.
368,Insidious: The Last Key,67745330,Uni.
369,Instant Family,67363237,Par.
370,Blockers,60311495,Uni.
371,Pacific Rim Uprising,59874525,Uni.
372,Tomb Raider,58250803,WB
373,Maze Runner: The Death Cure,58032443,Fox
374,The Nutcracker and the Four Realms,54858851,BV
375,Tag,54730625,WB (NL)
376,A Simple Favor,53548586,LGF
377,Life of the Party,53059911,WB (NL)
378,The Predator (2018),51024708,Fox
379,Overboard (2018),50316123,PNT
380,Sicario: Day of the Soldado,50072235,Sony
381,BlacKkKlansman,49275340,Focus
382,I Feel Pretty,48795601,STX
383,Vice,47836282,Annapurna
384,Red Sparrow,46874505,Fox
385,Breaking In (2018),46840590,Uni.
386,Goosebumps 2: Haunted Halloween,46700633,Sony
387,12 Strong,45819713,WB
388,Den of Thieves,44947622,STX
389,First Man,44936545,Uni.
390,Hereditary,44069456,A24
391,Tyler Perry's Acrimony,43549096,LGF
392,Sherlock Gnomes,43242871,Par.
393,Uncle Drew,42469946,LG/S
394,Widows,42402632,Fox
395,Truth or Dare,41411015,Uni.
396,Paddington 2,40891591,WB
397,"Love, Simon",40826341,Fox
398,Second Act,39282227,STX
399,The Commuter,36343858,LGF
400,The 15:17 to Paris,36276286,WB
401,Mile 22,36108758,STX
402,Alpha,35857181,Studio 8
403,Peppermint,35418723,STX
404,The Favourite,34366783,FoxS
405,Death Wish (2018),34017028,MGM
406,The Spy Who Dumped Me,33562069,LGF
407,Annihilation,32732301,Par.
408,Isle Of Dogs,32015231,FoxS
409,Nobody's Fool,31713110,Par.
410,Adrift,31445012,STX
411,Robin Hood (2018),30824628,LG/S
412,Super Troopers 2,30617396,Fox
413,Holmes and Watson,30573626,Sony
414,Slender Man,30569484,SGem
415,Teen Titans Go! To The Movies,29790236,WB
416,The Hate U Give,29719483,Fox
417,Searching,26020957,SGem
418,Winchester,25091816,LGF
419,On the Basis of Sex,24622687,Focus
420,Strangers: Prey at Night,24586708,Aviron
421,White Boy Rick,24011188,Studio 8
